Author,Genre,Pages,Score,Title,Year
Kevin Hearne,"Fantasy,Urban Fantasy,Fantasy,Fiction,Fantasy,Magic,Fantasy,Paranormal,Fantasy,Mythology",384,4.29,Hunted,2013
C.C. Hunter,"Paranormal,Vampires,Fantasy,Paranormal,Young Adult,Fantasy",32,4.08,Turned at Dark,2011
Douglas Preston,"Crime,True Crime,Nonfiction,History,Mystery,Mystery,Crime",322,3.75,The Monster of Florence,2008
Tad Williams,"Fantasy,Science Fiction,Fiction",688,4.14,Sea of Silver Light,2001
Pete Nelson,"History,War,World War I,Nonfiction,War,Military Fiction",304,3.88,A More Unbending Battle: The Harlem Hellfighter's Struggle for Freedom in WWI and Equality at Home,2009
Gayle Tzemach Lemmon,"Nonfiction,Biography,Autobiography,Memoir,History",258,3.71,"The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe",2011
Patrick F. McManus,"Humor,Nonfiction,Nature,Outdoors,Short Stories,Humor,Comedy,Writing,Essays",240,4.07,The Bear in the Attic,2003
Steven Johnson,"Science,History,Nonfiction,Biography,Religion,North American Hi...,American History",254,3.8,"The Invention of Air: A Story of Science, Faith, Revolution, and the Birth of America",2009
Tom Stoppard,"Plays,Drama,Fiction,Plays,Theatre,Music",144,3.71,Rock 'n' Roll,2007
Anita Diamant,"Historical,Historical Fiction,Fiction,World War II,Holocaust,Historical,War,World War II,Literature,Jewish,Cultural,Israel,War,Adult,Womens",294,3.67,Day After Night,2009
Matt Haig,"Fiction,Fantasy,Historical,Historical Fiction,Science Fiction,Science Fiction,Time Travel",325,3.85,How to Stop Time,2018
Jessica  Hopper,"Music,Nonfiction,Writing,Essays,Feminism,Culture,Pop Culture",201,4.01,The First Collection of Criticism by a Living Female Rock Critic,2015
Karen Hawkins,"Romance,Historical Romance,Romance,Historical,Cultural,Scotland,Historical,Historical Fiction,Historical,Regency,Adult,Fiction,Fantasy,Paranormal,Historical Romance,Regency Romance",317,4.01,To Catch a Highlander,2008
Doris Lessing,"Short Stories,Fiction,Nobel Prize,Romance,European Literature,British Literature",311,3.53,The Grandmothers: Four Short Novels,2004
Neil Sheehan,"History,Nonfiction,Biography,Politics,War,War,Military Fiction",560,3.82,A Fiery Peace in a Cold War: Bernard Schriever and the Ultimate Weapon,2009
Karin Tanabe,"Historical,Historical Fiction,Fiction,Historical,Adult,Adult Fiction,Cultural,African American",379,3.86,The Gilded Years,2016
Michael Punke,"Historical,Historical Fiction,Fiction,Westerns,Adventure",262,3.94,The Revenant,2015
Sarah Dunant,"Historical,Historical Fiction,Fiction,Historical,Cultural,Italy",368,3.78,In the Company of the Courtesan,2007
